date,amount
06.05.19 Mo.,15
07.05.19 Di.,14
08.05.19 Mi.,16
09.05.19 Do.,12
10.05.19 Fr.,12
13.05.19 Mo.,15
14.05.19 Di.,15
15.05.19 Mi.,14
16.05.19 Do.,15
17.05.19 Fr.,15
20.05.19 Mo.,16
21.05.19 Di.,13
22.05.19 Mi.,11
23.05.19 Do.,15
24.05.19 Fr.,13
27.05.19 Mo.,13
28.05.19 Di.,15
29.05.19 Mi.,15
31.05.19 Fr.,17
03.06.19 Mo.,15
04.06.19 Di.,10
05.06.19 Mi.,14
06.06.19 Do.,17
07.06.19 Fr.,16
11.06.19 Di.,16
12.06.19 Mi.,14
13.06.19 Do.,14
14.06.19 Fr.,15
17.06.19 Mo.,14
18.06.19 Di.,15
19.06.19 Mi.,9
20.06.19 Do.,15
21.06.19 Fr.,12
24.06.19 Mo.,11
25.06.19 Di.,15
26.06.19 Mi.,15
27.06.19 Do.,14
28.06.19 Fr.,15
01.07.19 Mo.,16
02.07.19 Di.,12
03.07.19 Mi.,9
04.07.19 Do.,14
05.07.19 Fr.,14
08.07.19 Mo.,15
09.07.19 Di.,14
10.07.19 Mi.,15
11.07.19 Do.,14
12.07.19 Fr.,14
15.07.19 Mo.,17
16.07.19 Di.,15
17.07.19 Mi.,13
18.07.19 Do.,13
19.07.19 Fr.,15
22.07.19 Mo.,14
23.07.19 Di.,16
24.07.19 Mi.,20
25.07.19 Do.,24
26.07.19 Fr.,20
29.07.19 Mo.,12
30.07.19 Di.,13
31.07.19 Mi.,11
02.08.19 Fr.,11
05.08.19 Mo.,9
06.08.19 Di.,13
07.08.19 Mi.,11
08.08.19 Do.,15
09.08.19 Fr.,16
12.08.19 Mo.,11
13.08.19 Di.,14
14.08.19 Mi.,17
15.08.19 Do.,12
16.08.19 Fr.,15
19.08.19 Mo.,16
20.08.19 Di.,9
21.08.19 Mi.,12
22.08.19 Do.,14
23.08.19 Fr.,12
26.08.19 Mo.,14
27.08.19 Di.,14
28.08.19 Mi.,16
29.08.19 Do.,13
30.08.19 Fr.,14
02.09.19 Mo.,13
03.09.19 Di.,14
04.09.19 Mi.,13
05.09.19 Do.,11
06.09.19 Fr.,10
09.09.19 Mo.,15
10.09.19 Di.,15
11.09.19 Mi.,15
12.09.19 Do.,13
13.09.19 Fr.,16
16.09.19 Mo.,12
17.09.19 Di.,10
18.09.19 Mi.,12
19.09.19 Do.,16
20.09.19 Fr.,15
23.09.19 Mo.,12
24.09.19 Di.,9
25.09.19 Mi.,9
26.09.19 Do.,14
27.09.19 Fr.,14
30.09.19 Mo.,15
01.10.19 Di.,16
02.10.19 Mi.,15
03.10.19 Do.,13
04.10.19 Fr.,13
07.10.19 Mo.,13
08.10.19 Di.,16
09.10.19 Mi.,14
10.10.19 Do.,16
11.10.19 Fr.,11
14.10.19 Mo.,12
15.10.19 Di.,11
16.10.19 Mi.,13
17.10.19 Do.,14
18.10.19 Fr.,16
21.10.19 Mo.,15
22.10.19 Di.,12
23.10.19 Mi.,12
24.10.19 Do.,15
25.10.19 Fr.,14
28.10.19 Mo.,14
29.10.19 Di.,12
30.10.19 Mi.,12
31.10.19 Do.,16
01.11.19 Fr.,14
04.11.19 Mo.,12
05.11.19 Di.,16
06.11.19 Mi.,15
07.11.19 Do.,13
08.11.19 Fr.,10
11.11.19 Mo.,14
12.11.19 Di.,15
13.11.19 Mi.,13
14.11.19 Do.,13
15.11.19 Fr.,13
18.11.19 Mo.,14
19.11.19 Di.,14
20.11.19 Mi.,13
21.11.19 Do.,12
22.11.19 Fr.,6
25.11.19 Mo.,9
26.11.19 Di.,13
27.11.19 Mi.,13
28.11.19 Do.,13
29.11.19 Fr.,13
02.12.19 Mo.,10
03.12.19 Di.,14
04.12.19 Mi.,15
05.12.19 Do.,14
06.12.19 Fr.,10
09.12.19 Mo.,14
10.12.19 Di.,14
11.12.19 Mi.,14
12.12.19 Do.,15
13.12.19 Fr.,14
16.12.19 Mo.,12
17.12.19 Di.,14
18.12.19 Mi.,11
19.12.19 Do.,10
20.12.19 Fr.,14
23.12.19 Mo.,7
24.12.19 Di.,3
06.01.20 Mo.,9
07.01.20 Di.,10
08.01.20 Mi.,10
09.01.20 Do.,13
10.01.20 Fr.,13
13.01.20 Mo.,14
14.01.20 Di.,11
15.01.20 Mi.,15
16.01.20 Do.,9
17.01.20 Fr.,11
20.01.20 Mo.,7
21.01.20 Di.,12
22.01.20 Mi.,10
23.01.20 Do.,13
24.01.20 Fr.,16
27.01.20 Mo.,18
28.01.20 Di.,12
29.01.20 Mi.,10
30.01.20 Do.,12
31.01.20 Fr.,16
03.02.20 Mo.,11
04.02.20 Di.,10
05.02.20 Mi.,10
06.02.20 Do.,9
07.02.20 Fr.,9
10.02.20 Mo.,10
11.02.20 Di.,10
12.02.20 Mi.,10
13.02.20 Do.,15
14.02.20 Fr.,14
17.02.20 Mo.,14
18.02.20 Di.,12
19.02.20 Mi.,11
20.02.20 Do.,17
21.02.20 Fr.,13
24.02.20 Mo.,17
25.02.20 Di.,12
26.02.20 Mi.,13
27.02.20 Do.,14
28.02.20 Fr.,17
02.03.20 Mo.,14
03.03.20 Di.,14
04.03.20 Mi.,15
05.03.20 Do.,13
06.03.20 Fr.,15
09.03.20 Mo.,15
10.03.20 Di.,14
11.03.20 Mi.,15
12.03.20 Do.,15
13.03.20 Fr.,17
16.03.20 Mo.,17
17.03.20 Di.,12
18.03.20 Mi.,8
19.03.20 Do.,14
20.03.20 Fr.,14
23.03.20 Mo.,10
24.03.20 Di.,11
25.03.20 Mi.,12
26.03.20 Do.,10
27.03.20 Fr.,13
30.03.20 Mo.,11
31.03.20 Di.,12
01.04.20 Mi.,12
02.04.20 Do.,13
03.04.20 Fr.,15
06.04.20 Mo.,9
07.04.20 Di.,15
08.04.20 Mi.,14
09.04.20 Do.,14
14.04.20 Di.,9
15.04.20 Mi.,10
16.04.20 Do.,11
17.04.20 Fr.,12
20.04.20 Mo.,13
21.04.20 Di.,13
22.04.20 Mi.,15
23.04.20 Do.,13
24.04.20 Fr.,15
27.04.20 Mo.,12
28.04.20 Di.,13
29.04.20 Mi.,14
30.04.20 Do.,12
01.05.20 Fr.,14
04.05.20 Mo.,10
05.05.20 Di.,11
06.05.20 Mi.,10
07.05.20 Do.,13
08.05.20 Fr.,17
11.05.20 Mo.,14
12.05.20 Di.,14
13.05.20 Mi.,11
14.05.20 Do.,12
15.05.20 Fr.,13
18.05.20 Mo.,11
19.05.20 Di.,12
20.05.20 Mi.,15
22.05.20 Fr.,14
25.05.20 Mo.,11
26.05.20 Di.,14
27.05.20 Mi.,14
28.05.20 Do.,12
29.05.20 Fr.,10
02.06.20 Di.,11
03.06.20 Mi.,12
04.06.20 Do.,12
05.06.20 Fr.,10
08.06.20 Mo.,9
09.06.20 Di.,14
10.06.20 Mi.,14
11.06.20 Do.,13
12.06.20 Fr.,16
15.06.20 Mo.,21
16.06.20 Di.,13
17.06.20 Mi.,17
18.06.20 Do.,17
19.06.20 Fr.,15
22.06.20 Mo.,15
23.06.20 Di.,17
24.06.20 Mi.,14
25.06.20 Do.,15
26.06.20 Fr.,16
29.06.20 Mo.,12
30.06.20 Di.,15
01.07.20 Mi.,15
02.07.20 Do.,13
03.07.20 Fr.,16
06.07.20 Mo.,17
07.07.20 Di.,17
08.07.20 Mi.,17
09.07.20 Do.,22
10.07.20 Fr.,16
13.07.20 Mo.,16
14.07.20 Di.,14
15.07.20 Mi.,16
16.07.20 Do.,16
17.07.20 Fr.,15
20.07.20 Mo.,17
21.07.20 Di.,18
22.07.20 Mi.,17
23.07.20 Do.,20
24.07.20 Fr.,12
27.07.20 Mo.,17
28.07.20 Di.,17
29.07.20 Mi.,18
30.07.20 Do.,17
31.07.20 Fr.,17
03.08.20 Mo.,15
04.08.20 Di.,13
05.08.20 Mi.,19
06.08.20 Do.,19
07.08.20 Fr.,16
10.08.20 Mo.,15
11.08.20 Di.,25
12.08.20 Mi.,17
13.08.20 Do.,19
14.08.20 Fr.,20
17.08.20 Mo.,15
18.08.20 Di.,11
19.08.20 Mi.,13
20.08.20 Do.,16
21.08.20 Fr.,17
24.08.20 Mo.,15
25.08.20 Di.,20
26.08.20 Mi.,20
27.08.20 Do.,19
28.08.20 Fr.,18
31.08.20 Mo.,17
01.09.20 Di.,12
02.09.20 Mi.,13
03.09.20 Do.,17
04.09.20 Fr.,14
07.09.20 Mo.,11
08.09.20 Di.,23
09.09.20 Mi.,24
